Batsman,Bowler,0,1,2,3,4,5,6,7+,Wickets,Runs,Balls
AD Mathews,RG Sharma,1,2,0,0,0,0,0,0,0,2,3
AD Mathews,RS Bopara,1,6,1,0,0,0,0,0,0,8,8
AD Mathews,S Badree,1,3,0,0,0,0,0,0,0,3,4
AD Mathews,Saeed Ajmal,4,12,1,0,1,0,0,0,1,18,18
AD Mathews,SCJ Broad,5,1,0,0,3,0,0,0,1,13,9
AD Mathews,Shahid Afridi,8,12,1,0,0,0,0,0,0,14,21
AD Mathews,SJ Benn,8,5,0,0,0,0,0,0,0,5,13
AD Mathews,SL Malinga,0,1,0,0,1,0,0,0,0,5,2
AD Mathews,Sohail Tanvir,6,3,1,0,1,0,0,0,1,9,11
AD Mathews,SP Narine,4,7,2,0,1,0,2,0,0,27,16
AD Mathews,SR Patel,0,2,1,0,0,0,1,0,0,10,4
AD Mathews,SR Watson,4,0,1,0,1,0,0,0,0,6,6
AD Mathews,STR Binny,2,0,0,0,1,0,0,0,1,4,3
AD Mathews,TA Boult,2,3,0,0,5,0,1,0,0,29,11
AD Mathews,TG Southee,0,7,0,0,1,0,0,0,0,11,8
AD Mathews,TT Bresnan,0,1,1,0,0,0,1,0,0,9,3
AD Mathews,Umar Gul,2,2,1,0,1,0,0,0,0,8,6
AD Mathews,UT Yadav,4,5,0,0,0,0,0,0,1,5,9
AD Mathews,V Kohli,6,4,1,0,0,0,0,0,0,6,11
AD Mathews,VR Aaron,1,0,0,0,0,0,0,0,1,0,1
